product_name,product_URL,date_scrape,subcategory
Desmanchador Vanish Liquido Blanco x130ml  ,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/5d26997b-3921-ec11-981f-501ac5124e32,2025-03-11,Ropa
Desmanchador Vanish Rosa x130ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/b0b64e1d-4d61-ee11-9937-6045bdd4a572,2025-03-11,Ropa
Desmanchador Vanish Liquido Rosa x450ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/86a9710f-28f9-eb11-b563-501ac5124066,2025-03-11,Ropa
Desmanchador Vanish Liquido Blanco x450ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/2ced6052-28f9-eb11-b563-501ac5124066,2025-03-11,Ropa
Lavaplatos Axion Limón Barra x100gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c89610af-3d56-ee11-9937-6045bdef5d58,2025-03-12,Cocina
Detergente AS Bicarbonato + Jabón Rey x125gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/364389d6-079a-4619-a90a-16c477a9b124,2025-03-12,Ropa
Detergente AS Jazmin + Bicarbonato x250gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/e6b91434-86de-440a-8c8b-695d71a5b6aa,2025-03-13,Ropa
Detergente AS Bicarbonato + Manzana Verde x250gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/28d93e7a-2f9d-4cd4-8449-20777f2e8072,2025-03-13,Ropa
Detergente AS Bicarbonato + Jabón Rey x250gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/877a5ba8-6304-41f2-9e15-42700c6a5c9c,2025-03-13,Ropa
Detergente AS Bicarbonato + Jabón Rey x500gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/22d50d4b-f688-4a76-ba75-26dfb50f7e7a,2025-03-13,Ropa
Detergente AS Vinagre y Limón Antibacterial x500gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/82a385a3-e91a-4975-8db5-7542bffecd5a,2025-03-13,Ropa
Detergente AS Bicarbonato + Manzana Verde x500gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/0d85c49d-f15c-473c-b0ca-63284ace3bbe,2025-03-13,Ropa
Detergente AS Jazmin + Bicarbonato x500gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/b74d7ac3-7d0f-4dd7-a0bc-e00bdf0dd0c9,2025-03-13,Ropa
Detergente Liquido Dersa Manzana x400ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/1fdb27b1-0b90-ec11-a507-28187831d14a,2025-03-13,Ropa
Detergente Liquido Dersa x400ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/233da2bc-380c-ec11-981f-501ac5124e32,2025-03-13,Ropa
Detergente Liquido Dersa x900ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/52ee8db0-380c-ec11-981f-501ac5124e32,2025-03-13,Ropa
Jabón Rey x300gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/021ed6c2-380c-ec11-981f-501ac5124e32,2025-03-13,Ropa
Jabón Rey x3 Jabones x300gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/07db27b1-0b90-ec11-a507-28187831d14a,2025-03-13,Ropa
